abseil-cpp 20250127.1-2
acl 2.3.2-1
ada 3.2.1-1
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.2-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20250508.788aadc8-1
aom 3.12.1-1
appstream 1.0.5-2
archlinux-keyring 20250430.1-1
at-spi2-core 2.56.2-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.3-1
aurutils 20.4-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
base 3-2
base-devel 1-2
bash 5.2.037-5
bash-completion 2.16.0-1
bibata-cursor-theme-bin 2.0.7-1
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blas 3.12.1-2
bluez 5.82-1
bluez-libs 5.82-1
boost-libs 1.88.0-2
brightnessctl 0.5.1-3
brotli 1.1.0-3
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.111-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cblas 3.12.1-2
ccrypt 1.11-2
checkupdates-with-aur 1.0-1
chromaprint 1.5.1-10
clang 19.1.7-2
cmake 4.0.2-1
compiler-rt 19.1.7-1
containerd 2.1.1-1
coreutils 9.7-1
cppdap 1.58.0-2
cryptsetup 2.7.5-2
curl 8.13.0-2
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.32-1
diffutils 3.12-2
djvulibre 3.5.28-6
dmenu 5.3-3
docker 1:28.1.1-1
dosfstools 4.2-5
double-conversion 3.3.1-1
duktape 2.7.0-7
dvisvgm 3.4.4-1
e2fsprogs 1.47.2-2
ed 1.21.1-1
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
electron34 34.5.6-1
ell 0.77-1
enchant 2.8.2-2
exfatprogs 1.2.9-1
expat 2.7.1-1
eza 0.21.3-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.43.0-1
fd 10.2.0-1
ffcall 2.4-3
ffmpeg 2:7.1.1-3
ffmpegthumbnailer 2.2.3-3
fftw 3.3.10-7
file 5.46-4
filesystem 2025.05.03-1
findutils 4.10.0-2
firefox 138.0.4-1
flac 1.5.0-1
flex 2.6.4-5
fluidsynth 2.4.6-1
fmt 11.2.0-1
font-manager 0.9.4-2
fontconfig 2:2.16.2-1
freeglut 3.6.0-2
freetype2 2.13.3-3
fribidi 1.0.16-2
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fzf 0.62.0-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.1.1+r7+gf36ec88aa85a-1
gcc-libs 15.1.1+r7+gf36ec88aa85a-1
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.25-1
ghostscript 10.05.1-2
giflib 5.2.2-2
girara 0.4.5-1
git 2.49.0-2
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.84.2-1
glibc 2.41+r48+g5cb575ca9a3d-1
glibmm 2.66.8-1
glslang 1:1.4.313.0-1
glu 9.0.3-2
glycin 1.2.1-1
gmp 6.3.0-2
gnome-text-editor 48.2-3
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
